Théâtres,1860-09-02,1860-09-03,1860-09-04,1860-09-05,1860-09-06,1860-09-07,1860-09-08,2 - 8 sept.
Opéra,,,,,,,,
Théâtre Français,2496.5,1425.9,1283.2,2448.7,1495.9,2161.5,1228.6,12540.3
Opéra-Comique,2697.5,3317.5,2629,2960,1344.5,3337,2626,18911.5
Théâtre des Italiens,,,,,,,,
Odéon,1487,923.5,697.75,717.75,601,601.75,523,5551.75
Théâtre-Lyrique,2072.25,679,1019.25,1306.25,735.5,1087.25,331,7230.5
Vaudeville,1283,1066,1311.5,916,1172.5,922.5,860,7531.5
Théâtre des Variétés,1278,1248,1057.5,1190.5,1405.5,1091.5,1120,8391
Gymnase,1451.25,891.25,1125.75,889.5,916,1068.25,1085.75,7427.75
Palais-Royal,1515.2,1645,1614,1647,1604.95,2014.75,2003,12043.9
Porte Saint-Martin,,,,,,,3013.5,3013.5
Gaîté,1928.55,1334.75,1224.3,1207.9,1909.05,2282.55,1913.8,11800.9
Ambigu-Comique,3200.75,2371.25,1907,1679.5,2163.75,1814.5,1730.75,14867.5
Théâtre Impérial du Cirque,6318.05,4903.5,4912.95,4861,5302.2,4742.8,4358.75,35399.25
Folies-Dramatiques,2087.45,1566,1362.4,1410.3,1408.2,1324.75,1002.4,10161.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,2137,2137
Folies Nouvelles,,,,,,,,
Total,27815.5,21371.65,20144.6,21234.4,20059.05,22449.1,23933.55,157007.85
