Théâtres,1860-09-23,1860-09-24,1860-09-25,1860-09-26,1860-09-27,1860-09-28,1860-09-29,23 - 29 set.
Opéra,,,,,,,,
Théâtre Français,,,,,,,,0
Opéra-Comique,,,,,,,,0
Théâtre des Italiens,,,,,,,,0
Odéon,,,,,,,,0
Théâtre-Lyrique,,,,,,,,0
Vaudeville,,,,,,,,0
Théâtre des Variétés,,,,,,,,0
Gymnase,,,,,,,,0
Palais-Royal,,,,,,,,0
Porte Saint-Martin,,,,,,,,0
Gaîté,,,,,,,,0
Ambigu-Comique,,,,,,,,0
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,,,,,,,,0
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,,,,,,,,0
Folies Nouvelles,,,,,,,,0
Total,0,0,0,0,0,0,0,0
