Théâtres,1860-09-30,1860-10-01,1860-10-02,1860-10-03,1860-10-04,1860-10-05,1860-10-06,30 sept.,1 - 6  oct.
Opéra,,,,,,,,,
Théâtre Français,4319.5,2089.1,2842,2115.1,2651.1,2877.6,2773,4319.5,15347.9
Opéra-Comique,4468,2534.5,3103.75,2899.75,3200.75,3597.25,2397,4468,17733
Théâtre des Italiens,,,8586.6,,6552.35,,5438.3,0,20577.25
Odéon,2584.5,519.5,481.5,644.75,456.5,1700.25,432.75,2584.5,4235.25
Théâtre-Lyrique,3636.5,1308.75,949,1294.25,1173.5,1052.25,1151.75,3636.5,6929.5
Vaudeville,2246,1225,1044,971.5,782,1163,871.5,2246,6057
Théâtre des Variétés,2930,1481,1550,1318,1531,1439.5,1449.5,2930,8769
Gymnase,3489.5,2423,2777.75,2393.25,2522,2660.75,2840.5,3489.5,15617.25
Palais-Royal,3104.25,1820.25,1507.75,1717.45,1402.7,1860,1802.5,3104.25,10110.65
Porte Saint-Martin,6013.75,5906.6,5842,5845,5834,5772,5770.75,6013.75,34970.35
Gaîté,3479.2,2132.05,1754.4,1602.1,1873.5,1628.5,1288.75,3479.2,10279.3
Ambigu-Comique,3857,2757,2704.75,2512.5,2562.5,,2002.5,3857,12539.25
Théâtre Impérial du Cirque,6273.85,3427.75,3407.4,4252.2,3408.8,3421.6,3054.25,6273.85,20972
Folies-Dramatiques,2013.05,1122.15,1034.55,918.35,917.4,784.85,766.45,2013.05,5543.75
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,2156,1753.5,1878,1861.5,1853,1877,1843,2156,11066
Folies Nouvelles,,,,,,,,,
Total,50571.1,30500.15,39463.45,30345.7,36721.1,29834.55,33882.5,50571.1,200747.45
