Théâtres,1860-10-14,1860-10-15,1860-10-16,1860-10-17,1860-10-18,1860-10-19,1860-10-20,14 - 20 oct.
Opéra,,,,,,,,
Théâtre Français,4455.6,2247.9,2142.6,1842.3,2462.3,2744.5,2047.2,17942.4
Opéra-Comique,4500,2029,2914.5,2213.5,1907,2275,1892.5,17731.5
Théâtre des Italiens,3476.5,,7240.6,,5962.8,,7400.1,24080
Odéon,2315.25,393.25,1274.5,219,1248.5,556.5,504,6511
Théâtre-Lyrique,2361.5,1462.5,610.5,3844,566,3644,772.5,13261
Vaudeville,2429,949,,,,1092.5,2791.5,7262
Théâtre des Variétés,2782,1906,1578.5,2037.5,2462,2385.5,2235.5,15387
Gymnase,3334.75,2148.75,2405.5,2540.75,2416.75,2340.75,2379.75,17567
Palais-Royal,3004,2326.5,2102.5,2003,1813,1717,1512.45,14478.45
Porte Saint-Martin,6036,5484,,,5591.5,5280.75,5548.75,27941
Gaîté,3873.75,3226.8,3107.15,3217.5,3017.55,3000.1,3030.9,22473.75
Ambigu-Comique,3567.75,1804,1429.25,1485.25,1516.75,1336.25,1300.25,12439.5
Théâtre Impérial du Cirque,5003.15,2043.75,1918.25,2130.25,1540.6,,2069.75,14705.75
Folies-Dramatiques,1739.4,896.4,2227.85,,742.45,869.45,720.65,7196.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2184,1487.5,1804,1469,1663.5,1615,1385,11608
Folies Nouvelles,,,,,,,,
Total,51062.65,28405.35,30755.7,23002.05,32910.7,28857.3,35590.8,230584.55
