Théâtres,1860-10-26,1860-10-29,1860-10-30,1860-10-31,1860-11-01,1860-11-02,1860-11-03,26 - 31 oct.,1 - 3  nov.
Opéra,,,,,,,,,
Théâtre Français,3264.5,2053.7,1683.5,2234.5,4117.5,1260.7,2554.1,9236.2,7932.3
Opéra-Comique,2669.5,2084.5,1865.5,2280,3295,1281,2129.25,8899.5,6705.25
Théâtre des Italiens,,,7990.8,,6093.3,,2129.25,7990.8,8222.55
Odéon,2285.25,700.25,575.5,637.25,2265,492.5,837.25,4198.25,3594.75
Théâtre-Lyrique,1808.5,3363.35,2888.25,657.75,4900.75,426,4142.5,8717.85,9469.25
Vaudeville,3007,2405,2624,2503,3204.4,1567.5,2225.5,10539,6997.4
Théâtre des Variétés,2692,1844,1882.5,1708,3190.5,1384,1432,8126.5,6006.5
Gymnase,2834,1577.5,1602.25,2052.5,3376.75,1405.75,2282,8066.25,7064.5
Palais-Royal,1700.55,1312,1713.35,1820.25,3006.25,1414.25,3913.5,6546.15,8334
Porte Saint-Martin,5430,4410.75,,,,,5283.75,9840.75,5283.75
Gaîté,3459.15,2564.5,2024.8,2152.7,3501,1846.4,2331.7,10201.15,7679.1
Ambigu-Comique,2564.75,,881.25,1081.75,2944.25,784.25,861.75,4527.75,4590.25
Théâtre Impérial du Cirque,3015.2,1508.4,1221.25,1640.3,3719.55,1322.2,1705.7,7385.15,6747.45
Folies-Dramatiques,1763.65,,,,2152.6,968.65,879.7,1763.65,4000.95
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1227,1141,1329.5,1424.5,2142.5,1133,1593.5,5122,4869
Folies Nouvelles,,,,,,,,,
Total,37721.05,24964.95,28282.45,20192.5,47909.35,15286.2,34301.45,111160.95,97497
