Théâtres,1860-11-18,1860-11-19,1860-11-20,1860-11-21,1860-11-22,1860-11-23,1860-11-24,18 - 24 nov.
Opéra,,,,,,,,
Théâtre Français,4468.6,2957.4,2997.3,2120.6,2841.3,2932.3,3322.5,21640
Opéra-Comique,4760,2687.75,1991,2627.5,2188,2932.5,3223.5,20410.25
Théâtre des Italiens,7569.5,,6837.1,,8862.8,,6783.95,30053.35
Odéon,2638,977,900.5,808.25,805.75,1206.75,823.75,8160
Théâtre-Lyrique,2659.25,1076.75,3478.5,1551.75,3290.75,1431.5,3363,16851.5
Vaudeville,2559,1165.5,1639,1323.5,1252,834.5,1029,9802.5
Théâtre des Variétés,3578.5,2381.5,2137.5,2080,1861,1857.5,2435.5,16331.5
Gymnase,3229.25,2047,1815.1,2082.25,1765.75,2021.25,,12960.6
Palais-Royal,3006.5,1502.5,1906.75,2221.2,1733.75,2009.75,,12380.45
Porte Saint-Martin,5609.75,5071.5,5014,4714.25,,,5023,25432.5
Gaîté,3830.15,2838.7,2373,2126.4,2247.3,2278,1950.5,17644.05
Ambigu-Comique,1727.75,3011,,3407.75,3505.5,3612.25,3569.5,18833.75
Théâtre Impérial du Cirque,3466.25,1774.05,1410.1,1047.75,1244.5,,1387.75,10330.4
Folies-Dramatiques,2235.1,1460,1024.1,740.45,623.25,735.5,607.85,6818.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2109.5,1594.5,1568.5,1397.5,1490,1429,1448,11037
Folies Nouvelles,,,,,,,,
Total,53447.1,30545.15,35092.45,28249.15,33711.65,23280.8,34359.95,238686.25
