Théâtres,1860-11-25,1860-11-26,1860-11-27,1860-11-28,1860-11-29,1860-11-30,1860-12-01,25 - 30 nov.,1 déc.
Opéra,,,,,,,,,
Théâtre Français,4799.9,2584.7,2903.4,2685.9,2778.1,1798.3,3260.7,17550.3,3260.7
Opéra-Comique,5433.75,3260.25,,1605,2173.5,1073.5,2785.5,13546,2785.5
Théâtre des Italiens,4911.5,,6297.6,,,,9741,11209.1,9741
Odéon,2172.75,880.5,962.75,710.5,813,512.5,1102,6052,1102
Théâtre-Lyrique,3461.5,1503.25,4002.75,2175,3412.5,1963.25,4151.25,16518.25,4151.25
Vaudeville,1854,857,1099.5,1086,4879,,1167.5,9775.5,1167.5
Théâtre des Variétés,3427,1943.5,2282,2027,1831.5,1638.5,2265,13149.5,2265
Gymnase,3177.5,2564.25,,2524.5,2412.5,1907.5,2281.75,12586.25,2281.75
Palais-Royal,3001.5,1409,1922.75,1501.45,1613.45,1807.7,2207.25,11255.85,2207.25
Porte Saint-Martin,5809.75,5155,,,,,5830.5,10964.75,5830.5
Gaîté,3751.8,2563,2669.55,2201.25,2301.55,2201.75,2601.5,15688.9,2601.5
Ambigu-Comique,3801.5,3733.25,3732.25,3680.25,3621.25,3679.5,3566,22248,3566
Théâtre Impérial du Cirque,3539.4,,,,,,,3539.4,0
Folies-Dramatiques,1141.1,1200.5,1026.2,736.85,,1926.25,1095.45,6030.9,1095.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1979.5,1429.5,1690.5,1783.5,1530.5,1578,1954,9991.5,1954
Folies Nouvelles,,,,,,,,,
Total,52262.45,29083.7,28589.25,22717.2,27366.85,20086.75,44009.4,180106.2,44009.4
