Théâtres,1860-12-23,1860-12-24,1860-12-25,1860-12-26,1860-12-27,1860-12-28,1860-12-29,23 - 29 déc.
Opéra,,,,,,,,
Théâtre Français,3089.1,1549,2582,928,1458.8,1467.6,3236.4,14310.9
Opéra-Comique,3267,2565,1821,1750,1740,2050,1317.5,14510.5
Théâtre des Italiens,2911,,5681,,9040.6,,7596.75,25229.35
Odéon,1462.5,313.75,713.25,374.75,310,310.75,387.5,3872.5
Théâtre-Lyrique,1771,1327,1938.25,707.75,1589.75,845.25,2171,10350
Vaudeville,1648,616.5,1769.5,,,,,4034
Théâtre des Variétés,1679.5,2898.5,4004,3296,2425,3467,3510,21280
Gymnase,1918,1083.5,1152.75,623.5,922,980.5,2153.5,8833.75
Palais-Royal,2412.5,1718.15,1723.75,1009.65,1152.4,1212.6,1652.45,10881.5
Porte Saint-Martin,5217,3598.25,3451.5,3143,2976,3376.35,,21762.1
Gaîté,2217.5,1106,1225,706.75,705.25,777,615.5,7353
Ambigu-Comique,3604.5,2723.75,3352,2311.25,2010,2322.5,2507.75,18831.75
Théâtre Impérial du Cirque,2234.75,,,,,3017.65,3179.3,8431.7
Folies-Dramatiques,2351.45,1873.75,2291.75,1792.55,1617.25,1555.55,1427.9,12910.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1264.5,1010,909,523.5,763.5,883.5,1088.5,6442.5
Folies Nouvelles,,,,,,,,
Total,37048.3,22383.15,32614.75,17166.7,26710.55,22266.25,30844.05,189033.75
