Théâtres,1860-12-30,1860-12-31,,,,,,30 - 31 déc.
Opéra,,,,,,,,
Théâtre Français,3375,2575.5,,,,,,5950.5
Opéra-Comique,3038,2613,,,,,,5651
Théâtre des Italiens,2465.5,,,,,,,2465.5
Odéon,1161.5,314,,,,,,1475.5
Théâtre-Lyrique,1143,730.75,,,,,,1873.75
Vaudeville,,,,,,,,
Théâtre des Variétés,3940.5,3440.5,,,,,,7381
Gymnase,1915.25,1664.75,,,,,,3580
Palais-Royal,2310.95,1807.25,,,,,,4118.2
Porte Saint-Martin,,,,,,,,
Gaîté,867.5,,,,,,,867.5
Ambigu-Comique,2865.5,2390,,,,,,5255.5
Théâtre Impérial du Cirque,5505.55,4506.1,,,,,,10011.65
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1182.5,,,,,,,1182.5
Folies Nouvelles,,,,,,,,
Total,29770.75,20041.85,,,,,,49812.6
