An 1861- Octobre,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,13049.6,17854.6,18003.4,20696.4,14428.8,,84032.8
Opéra-Comique,13028,22245.5,23281.25,24111.5,13608,,96274.25
Théâtre des Italiens,20606.05,18910.25,29324.1,20402.3,14501.05,,103743.75
Odéon,2422.75,3703.5,4648.25,6133.25,4972.85,,21880.6
Théâtre-Lyrique,7866,10608.85,12680.25,10764.5,4468.75,,46388.35
Vaudeville,4977,8262.5,10963,9856,6242.5,,40301
Théâtre des Variétés,6651,9769,10602.5,12727,9763,,49512.5
Gymnase,7484.25,9876,10756.5,12485,10725.25,,51327
Palais-Royal,7531.65,10675.8,10546.1,10758.9,6449.95,,45962.4
Porte Saint-Martin,15247.25,19132,19528.75,18979.75,11456,,84343.75
Gaîté,14152.7,17693.2,17856.35,16197.2,10235.7,,76135.15
Ambigu-Comique,7305.25,10136.75,10250.5,17637.25,9300.9,,54630.65
Théâtre Impérial du Cirque,25007.25,26982.85,28171.8,35574.45,16692.9,,132429.25
Folies-Dramatiques,2675.45,1075,6424.9,6318.35,2617.15,,19110.85
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,6687.5,8031,9645,11418.5,6822,,42604
Folies Nouvelles,,,,,,,
Total,154691.7,194956.8,222682.65,234060.35,142284.8,,948676.3
