An 1861 - Février,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,6538.6,27303.8,34152.9,24689.7,19634.8,,112319.8
Opéra-Comique,4596.5,26438.75,36232.75,24538.5,18504.5,,110311
Théâtre des Italiens,8418.8,27414.5,27211.3,27140.95,10088.6,,100274.15
Odéon,1093.76,5234.25,8164.5,8553.75,7234.5,,30280.76
Théâtre-Lyrique,3475.75,11060.25,15292.25,12803.25,9760,,52391.5
Vaudeville,4725.5,16349.5,15845.5,10980.5,6864,,54765
Théâtre des Variétés,5101,16017.5,18210.5,11765.5,10573.5,,61668
Gymnase,4612.75,13388.75,18247,12279.75,12901.59,,61429.84
Palais-Royal,2045.7,20156,24201.75,23836.5,17172.75,,87412.7
Porte Saint-Martin,9005.75,23404.25,25286,24399,11599.25,,93694.25
Gaîté,1464.9,13079.05,18154.75,14466.75,9300.95,,56466.4
Ambigu-Comique,4751.25,17134.65,17410.5,12293,4405.5,,55994.9
Théâtre Impérial du Cirque,7177.45,26612.55,28057.6,18437.8,11788.5,,92073.9
Folies-Dramatiques,1866.7,6618.2,6311.95,5789.15,4046.55,,24632.55
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,3724,11288.5,11577.5,6305.5,,,32895.5
Folies Nouvelles,,,,,,,
Total,68598.41,261500.5,304356.75,238279.6,153874.99,,1026610.25
