An 1861 - Mars,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,6703,29355.3,25820,22800.7,15595.9,5409.1,105684
Opéra-Comique,5696.5,26153.5,27247.75,22482.99,9110.5,5455,96146.24
Théâtre des Italiens,8838.5,21013,29783,29089,24750.84,3288.5,116762.84
Odéon,2212,8610.75,5660,6921.25,8880.25,1466,33750.25
Théâtre-Lyrique,3652,14357.25,10655.75,12985.25,5623.75,3125.75,50399.75
Vaudeville,2830,9168,5270.5,16243.5,9099.5,2710,45321.5
Théâtre des Variétés,4295,15757,12472.5,11863.5,7542.5,8390.5,60321
Gymnase,5057,19607,15336,13482.5,7133,2841,63456.5
Palais-Royal,5575.6,23778.2,21880,20369.7,13278.8,3316.5,88198.8
Porte Saint-Martin,7626.25,23632.25,18699.75,18702.75,2300.5,3497.75,74459.25
Gaîté,3074.15,11245.7,7084.95,11364.4,11237.8,3304.65,47311.65
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,5094.5,15183.65,14029.96,12088.7,21326.05,6000.2,73723.06
Folies-Dramatiques,1570.35,6861.95,3325.95,5652.6,3202.18,1642.85,22255.88
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,2893.5,9807.5,8198,3589,9810.5,2129.5,36428
Folies Nouvelles,,,,,,,
Total,65118.35,234531.05,205464.11,207635.84,148892.07,52577.3,914218.72
