An 1861 - Mai,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,10855.7,25494.7,21199.5,20264.2,10970,,88784.1
Opéra-Comique,10624,20020.5,19519.5,14395,8430.75,,72989.75
Théâtre des Italiens,,,,,,,
Odéon,8223.75,15326,15069,13378.75,10112,,62109.5
Théâtre-Lyrique,8794,21049.5,20938.75,10905.25,6115.25,,67802.75
Vaudeville,7202,12219,9918,7224.5,2621.5,,39185
Théâtre des Variétés,5811.5,11445.5,7161.5,5775.5,7330.5,,37524.5
Gymnase,9694,19604.5,14560.25,9102.75,3161,,56122.5
Palais-Royal,7847.7,15761.4,13298.65,11078.25,5475.8,,53461.8
Porte Saint-Martin,22916,41091,38957,32148.75,18729.75,,153842.5
Gaîté,7833.65,15770.6,11120.5,8842.9,4001.25,,47568.9
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,2170.1,18651,14531,13884.35,3640.75,,52877.2
Folies-Dramatiques,2682.6,7259.5,2426.2,3615.45,1389,,17372.75
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,5713,8759,,,,,14472
Folies Nouvelles,,,,,,,
Total,110368,232452.2,188699.85,150615.65,81977.55,,764113.25
