An 1861  Juin,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,2959.3,0,12095.6,6082,9693.9,2633.9,33464.7
Opéra-Comique,1425.5,18670.8,11817,4637,8259.5,2275.5,47085.3
Théâtre des Italiens,0,15644.5,,,,,15644.5
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,1467.5,5768.5,5502.5,714,2582.5,764,16799
Théâtre des Variétés,2110,14570,7494,2916,7913,1622.5,36625.5
Gymnase,1152.75,8651.25,6719.75,2109.25,6092.75,1147.25,25873
Palais-Royal,1512,11768.3,7764.45,2039.75,5654.7,1302.25,30041.45
Porte Saint-Martin,4189,28324.25,22213.5,8336,14589.5,3856,81508.25
Gaîté,0,12651,8413.4,1988.15,5118.3,1357.65,29528.5
Ambigu-Comique,1104.75,8924,6714.75,1611.25,12586.75,2905.5,33847
Théâtre Impérial du Cirque,1261.25,5768.75,11286.05,3909.15,6451.95,2301.35,30978.5
Folies-Dramatiques,496.1,3053.35,3088.4,1506.55,3111.05,0,11255.45
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,17678.15,133794.7,103109.4,35849.1,82053.9,20165.9,392651.15
