An 1861 - Juillet,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,8942.5,12956.4,10400.9,11158.1,4414.5,,47872.4
Opéra-Comique,6078,16007.5,14540.5,14104.95,8900.75,,59631.7
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,4584,8757.5,5334.5,3195,1862.5,,23733.5
Théâtre des Variétés,8789.5,10030,5798,3033.5,1420.75,,29071.75
Gymnase,5243.5,6613,3822.75,8292.75,4398,,28370
Palais-Royal,6247.15,9153.95,5505.55,6713.4,2517.85,,30137.9
Porte Saint-Martin,14934.5,21159.5,12823.75,13539.4,7780.75,,70237.9
Gaîté,5634.2,7876.15,8417.75,6674.35,2939.15,,31541.6
Ambigu-Comique,9804.5,12347.5,9453,7673,3834.75,,43112.75
Théâtre Impérial du Cirque,4558.15,8481.55,2882.95,3142.5,17699.2,,36764.35
Folies-Dramatiques,1982.75,4447.6,1425.15,739.4,358.95,,8953.85
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,76798.75,117830.65,80404.8,78266.35,56127.15,,409427.7
