An 1861- Septembre,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,6222.1,9515.9,13936.7,19092.1,5987.1,,54753.9
Opéra-Comique,5899.25,12484.25,17277.25,17286.25,6221.5,,59168.5
Théâtre des Italiens,,,,,,,
Odéon,3213.5,3795.75,6065.5,6563.5,3032.25,,22670.5
Théâtre-Lyrique,5461.5,10489.25,13379.35,13482.5,5622.75,,48435.35
Vaudeville,2556,5609,8498,10936,3487.5,,31086.5
Théâtre des Variétés,8043.5,10899.5,13442.5,13875,4445.5,,50706
Gymnase,4984.75,8261.25,12184.25,11172,3933,,40535.25
Palais-Royal,5907.7,8449.2,13263.2,14204.4,4509.75,,46334.25
Porte Saint-Martin,14007.75,18416.5,20887.75,22405.5,5871,,81588.5
Gaîté,7475.8,9984.3,9652.05,13317.6,6906.05,,47335.8
Ambigu-Comique,7306.5,9652.71,11723.75,13900.75,3301.5,,45885.21
Théâtre Impérial du Cirque,24495.8,27657.6,36596.4,37964.35,11678.35,,138392.5
Folies-Dramatiques,1246.9,5071.35,3758.35,8121.45,3071.1,,21269.15
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,1417,11358,11351,2999,,27125
Folies Nouvelles,,,,,,,
Total,96821.05,141703.56,192023.05,213672.4,71066.35,,715286.41
