An 1861,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,217230.6,191746.12,225684.55,244093.15,162792.5,,1041546.92
Février,68598.41,261500.5,304356.75,238279.6,153874.99,,1026610.25
Mars,65118.35,234531.05,205464.11,207635.84,148892.07,52577.3,914218.72
Avril,249485.2,226686.19,205858.2,201404.7,109033.35,,992467.64
Mai,110368,232452.2,188699.85,150615.65,81977.55,,764113.25
Juin,17678.15,133794.7,103109.4,35849.1,82053.9,20165.9,392651.15
Juillet,76798.75,117830.65,80404.8,78266.35,56127.15,,409427.7
Août,22813,57815.42,47063.46,103816.82,113102.99,,344611.69
Septembre,96821.05,141703.56,192023.05,213672.4,71066.35,,715286.41
Octobre,154691.7,194956.8,222682.65,234060.35,142284.8,,948676.3
Novembre,74669.1,207691.25,214001.15,223079.25,241571.05,,961011.8
Décembre,234816.85,233391.15,214416.3,170201.55,67481.05,,920306.9
Total an,1389089.16,2234099.59,2203764.27,2100974.76,1430257.75,72743.2,9430928.73
