Théâtres,1861-01-01,1861-01-02,1861-01-03,1861-01-04,1861-01-05,,,1 - 5 jan.
Opéra,,,,,,,,
Théâtre Français,4420.7,3505.7,2343.1,2485.3,1510.5,,,14265.3
Opéra-Comique,5513.25,2972.25,1764.5,2163,1882.5,,,14295.5
Théâtre des Italiens,7540,,7115.7,7452,8777.2,,,30884.9
Odéon,1618.25,1578.75,758.75,756,696.75,,,5408.5
Théâtre-Lyrique,4158.75,3552.5,3916.5,1700.75,3173.25,,,16501.75
Vaudeville,2554,2983,2623,2850.5,2818,,,13828.5
Théâtre des Variétés,4078.5,4209.5,4059.5,3708,3714,,,19769.5
Gymnase,2255.5,3028.5,2481,2165.25,2283.75,,,12214
Palais-Royal,2605,2111.5,1705,1619.25,,,,8040.75
Porte Saint-Martin,5765,6039.75,5548.75,5427.25,,,,22780.75
Gaîté,2400.1,2884.8,2328.05,1923.8,1266.5,,,10803.25
Ambigu-Comique,3825,4016,,,,,,7841
Théâtre Impérial du Cirque,6465.95,7147.45,6617.9,6350.9,6010.3,,,32592.5
Folies-Dramatiques,,2401.1,,,1832.3,,,4233.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,1028.5,789,1089.5,864,,,3771
Folies Nouvelles,,,,,,,,
Total,53200,47459.3,42050.75,39691.5,34829.05,,,217230.6
