Théâtres,1861-03-10,1861-03-11,1861-03-12,1861-03-13,1861-03-14,1861-03-15,1861-03-16,10 -16 mar.
Opéra,,,,,,,,
Théâtre Français,3412.2,4151.6,2259.6,4222,4111.7,3333.5,4329.4,25820
Opéra-Comique,4211.25,4705,1471.5,5420.5,1722,5039.5,4678,27247.75
Théâtre des Italiens,6839.5,,6028.2,,8361.8,,8553.5,29783
Odéon,1761.5,670.5,582.5,459.25,782.5,780,623.75,5660
Théâtre-Lyrique,2267,1529,702.5,1682.75,831.25,1758.25,1885,10655.75
Vaudeville,1129,680,685,,,1125.5,1651,5270.5
Théâtre des Variétés,2659.5,1320,1608.5,2066,1359,1657,1802.5,12472.5
Gymnase,2206.75,1801.5,2372,2240.75,2138,1962.75,2614.25,15336
Palais-Royal,3518.75,3102.75,2806.5,3117.5,3104,3109.25,3121.25,21880
Porte Saint-Martin,4127.75,3385.75,3499.5,,,3815.75,3871,18699.75
Gaîté,1739.75,977,714.5,905.4,1401.75,,1346.55,7084.95
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,3408.85,1900.75,1581.5,1878.26,1845.25,1694.75,1720.6,14029.96
Folies-Dramatiques,1289.45,446.2,322.95,590.2,677.15,,,3325.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1277.5,1059,1134,1088,1070,1201.5,1368,8198
Folies Nouvelles,,,,,,,,
Total,39848.75,25729.05,25768.75,23670.61,27404.4,25477.75,37564.8,205464.11
