Théâtres,1861-03-31,1861-04-01,1861-04-02,1861-04-03,1861-04-04,1861-04-05,1861-04-06,31 mar.,1 - 6 avr.
Opéra,,,,,,,,,
Théâtre Français,5409.1,3814,4528.7,2251.2,4428.6,3108.1,4668.3,5409.1,22798.9
Opéra-Comique,5455,4214.5,5793,1722.5,5651.25,2948.5,2499.5,5455,22829.25
Théâtre des Italiens,3288.5,,7603.9,3117,6696.6,,8711.9,3288.5,26129.4
Odéon,1466,4572.5,4404.5,584.25,4416.25,528.75,4545,1466,19051.25
Théâtre-Lyrique,3125.75,2678,1232.5,2443.25,,974,2238,3125.75,9565.75
Vaudeville,2710,3582,2404,2861,2664.5,2888,2972,2710,17371.5
Théâtre des Variétés,8390.5,2622.5,1800,1399,1536,1781.5,1656.5,8390.5,10795.5
Gymnase,2841,3502,2828,2940.25,2715.75,3085.75,2942.7,2841,18014.45
Palais-Royal,3316.5,3315.5,3297.75,3208,3000.5,3142.5,2812.7,3316.5,18776.95
Porte Saint-Martin,3497.75,3594,1806.25,1735.25,,1373.75,1277,3497.75,9786.25
Gaîté,3304.65,3408.85,2138.5,2501.25,2476.15,2308.5,2274.8,3304.65,15108.05
Ambigu-Comique,,3014.5,1701,1811.5,1635.5,5564.75,1302.5,0,15029.75
Théâtre Impérial du Cirque,6000.2,6229,5007,4333.8,3716.2,4017.75,3409,6000.2,26712.75
Folies-Dramatiques,1642.85,1783.15,722.3,670.25,503.5,607,703.25,1642.85,4989.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,2129.5,2221,1978,2119.5,1973,2119,2115.5,2129.5,12526
Folies Nouvelles,,,,,,,,,
Total,52577.3,48551.5,47245.4,33698,41413.8,34447.85,44128.65,52577.3,249485.2
