Théâtres,1861-04-21,1861-04-22,1861-04-23,1861-04-24,1861-04-25,1861-04-26,1861-04-27,21- 27 avr.
Opéra,,,,,,,,
Théâtre Français,3531.8,3002.2,2801.1,2678.3,3244.5,2825.4,3119.3,21202.6
Opéra-Comique,1783,1221,3698.75,1293,3379,1303.25,3450.5,16128.5
Théâtre des Italiens,3038.5,,5975.4,6300.5,7248,,8448.15,31010.55
Odéon,1206.5,3658.25,3583.5,497.5,3987.75,234.5,3981.25,17149.25
Théâtre-Lyrique,1060,1553.5,3009,1183.25,3002,1959,3055.5,14822.25
Vaudeville,1175,1846.5,1500,2252.5,1151,1386.5,1409.5,10721
Théâtre des Variétés,2212.5,2001.5,1785,2001.5,1286,1433,4171,14890.5
Gymnase,2423.75,2696.5,2594.75,2663,2194.25,2373.5,2283.25,17229
Palais-Royal,2126.5,2101.25,2310.5,2317.95,1900.75,1702.7,2209.25,14668.9
Porte Saint-Martin,,,,,,,3097.5,3097.5
Gaîté,2202.9,2444.5,1868.7,1856.25,1614.5,1719.75,1281.25,12987.85
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,3001,2266.75,1603.75,1537.25,1275.25,1407.35,882.75,11974.1
Folies-Dramatiques,1028,799.6,493.9,379.55,1840,1123.65,,5664.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1055.5,1743,1571,1695,1193.5,1352.5,1247.5,9858
Folies Nouvelles,,,,,,,,
Total,25844.95,25334.55,32795.35,26655.55,33316.5,18821.1,38636.7,201404.7
