Théâtres,1861-04-28,1861-04-29,1861-04-30,1861-05-01,1861-05-02,1861-05-03,1861-05-04,28- 30 avr.,1 - 4 mai
Opéra,,,,,,,,,
Théâtre Français,3993.9,3037.3,1959,1320.1,3581,2418.9,3535.7,8990.2,10855.7
Opéra-Comique,3638,2802.5,2034.75,4085,,4441,2098,8475.25,10624
Théâtre des Italiens,,5376,10978.1,,,,,16354.1,0
Odéon,1017.25,3248.4,3123.5,262.5,3614.75,356.25,3990.25,7389.15,8223.75
Théâtre-Lyrique,1966.5,3412.5,2741.75,1591.25,2894,1260.75,3048,8120.75,8794
Vaudeville,1010.5,1743.5,1333.5,1911.5,1570.5,1824.5,1895.5,4087.5,7202
Théâtre des Variétés,2028.5,1544.5,1366,1432.5,1301.5,1286.5,1791,4939,5811.5
Gymnase,2598,2546.5,2858,1830,2258.25,2646.5,2959.25,8002.5,9694
Palais-Royal,2527,2105.25,1616.95,2211.25,1870.75,1800,1965.7,6249.2,7847.7
Porte Saint-Martin,5714.5,5143,5553,5693.5,5696.75,5715.25,5810.5,16410.5,22916
Gaîté,2829.9,1882.65,1633.15,1973.8,2007.05,2032.9,1819.9,6345.7,7833.65
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,3120,1303.1,1187.75,,,,2170.1,5610.85,2170.1
Folies-Dramatiques,1895.25,1294,1001.9,1007,873.85,,801.75,4191.15,2682.6
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1351,1215,1301.5,1518,1251.5,1545,1398.5,3867.5,5713
Folies Nouvelles,,,,,,,,,
Total,33690.3,36654.2,38688.85,24836.4,26919.9,25327.55,33284.15,109033.35,110368
