Théâtres,1861-05-26,1861-05-27,1861-05-28,1861-05-29,1861-05-30,1861-05-31,1861-06-01,26 - 31 mai,1 juin.
Opéra,,,,,,,,,
Théâtre Français,1233.4,1682.4,2163.1,2077.4,1994.3,1819.4,2959.3,10970,2959.3
Opéra-Comique,1267.5,700.5,641,2793.5,698,2330.25,1425.5,8430.75,1425.5
Théâtre des Italiens,,,,,,,,,
Odéon,262.5,1760.25,2408.5,204.25,3384.25,2092.25,,10112,
Théâtre-Lyrique,335.75,1157.25,1279.5,1508.75,801,1033,,6115.25,
Vaudeville,352,356,454.5,629,830,,1467.5,2621.5,1467.5
Théâtre des Variétés,461.5,351.5,395.5,,4879.5,1242.5,2110,7330.5,2110
Gymnase,637,507.5,416,568.25,594.75,437.5,1152.75,3161,1152.75
Palais-Royal,710.5,922.4,1006.65,1110.25,807.15,918.85,1512,5475.8,1512
Porte Saint-Martin,3151.5,2840.75,2815.25,3433,3502.5,2986.75,4189,18729.75,4189
Gaîté,817,535.75,509.75,600,801,737.75,,4001.25,
Ambigu-Comique,,,,,,,1104.75,0,1104.75
Théâtre Impérial du Cirque,747.25,608,,796,835,654.5,1261.25,3640.75,1261.25
Folies-Dramatiques,384.6,318.1,201.05,298.8,,186.45,496.1,1389,496.1
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,10360.5,11740.4,12290.8,14019.2,19127.45,14439.2,17678.15,81977.55,17678.15
