Théâtres,1861-06-02,1861-06-03,1861-06-04,1861-06-05,1861-06-06,1861-06-07,1861-06-08,2 - 8 juin.
Opéra,,,,,,,,
Théâtre Français,,,,,,,,
Opéra-Comique,3447.8,2664.4,2621.5,2188.6,2628.2,2464.1,2656.2,18670.8
Théâtre des Italiens,1590.5,2725.25,972.5,2818.75,1060,2316,4161.5,15644.5
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,881.5,1208,623,666.5,624.5,1017,748,5768.5
Théâtre des Variétés,2853.5,2545.5,1802,1933,1901.5,1869,1665.5,14570
Gymnase,1970.5,1305,1248.75,1029.5,1196.5,949,952,8651.25
Palais-Royal,1703.5,1940.5,1550.6,1812.95,1309.75,1643.75,1807.25,11768.3
Porte Saint-Martin,5002.75,4576,4152,3684,4005,3847,3057.5,28324.25
Gaîté,2270.15,2088,1931.5,1578.9,1701.25,1677.95,1403.25,12651
Ambigu-Comique,2130.5,1611,1255.25,801.5,1216,1207.75,702,8924
Théâtre Impérial du Cirque,2173.75,1472.25,1034.75,,,,1088,5768.75
Folies-Dramatiques,1171.55,713.05,301.2,,290,314.5,263.05,3053.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25196,22848.95,17493.05,16513.7,15932.7,17306.05,18504.25,133794.7
