Théâtres,1861-06-30,1861-07-01,1861-07-02,1861-07-03,1861-07-04,1861-07-05,1861-07-06,30 juin.,1 - 6 juil.
Opéra,,,,,,,,,
Théâtre Français,2633.9,1068.1,1749.6,1255.5,2087.7,1908.6,873,2633.9,8942.5
Opéra-Comique,2275.5,824.75,1114.5,528,1195,1114.75,1301,2275.5,6078
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,764,279.5,627.5,387.5,520.5,1587,1182,764,4584
Théâtre des Variétés,1622.5,968,2154.5,1110,1696,1534,1327,1622.5,8789.5
Gymnase,1147.25,622.5,1339.5,660.75,1003.75,734.5,882.5,1147.25,5243.5
Palais-Royal,1302.25,1014.5,1401.7,507.7,900.6,902.65,1520,1302.25,6247.15
Porte Saint-Martin,3856,2232.75,3135.75,2334,2314.25,2737,2180.75,3856,14934.5
Gaîté,1357.65,767,1115.25,718.5,1060,1202.55,770.9,1357.65,5634.2
Ambigu-Comique,2905.5,1603.75,2123.5,1606.25,1661.5,1404.5,1405,2905.5,9804.5
Théâtre Impérial du Cirque,2301.35,956.9,1262.75,851,811.75,,675.75,2301.35,4558.15
Folies-Dramatiques,,407.6,684.8,370.4,,,519.95,,1982.75
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,20165.9,10745.35,16709.35,10329.6,13251.05,13125.55,12637.85,20165.9,76798.75
