Théâtres,1861-07-28,1861-07-29,1861-07-30,1861-07-31,1861-08-01,1861-08-02,1861-08-03,28 - 31 juil.,1 - 3 août 
Opéra,,,,,,,,,
Théâtre Français,1829.8,867.9,940.5,776.3,619.8,768.3,1622.7,4414.5,2391
Opéra-Comique,2171,3294.75,637.5,2797.5,852.5,2919,1398,8900.75,4317
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,823.5,357.5,413.5,268,364,405,651,1862.5,1056
Théâtre des Variétés,890.5,,,530.25,300.5,,,1420.75,0
Gymnase,1815.5,832.75,822.25,927.5,728.75,911.5,883,4398,1794.5
Palais-Royal,1107.5,501.15,505.3,403.9,363.1,404.6,413.4,2517.85,818
Porte Saint-Martin,2542.5,1712.75,1830.25,1695.25,,1553,1429,7780.75,2982
Gaîté,1473.4,571.75,480.5,413.5,401.65,308.5,,2939.15,308.5
Ambigu-Comique,1816.75,708.25,708.5,601.25,503.25,501.5,,3834.75,501.5
Théâtre Impérial du Cirque,6024.85,3829,4123.15,3722.2,3921.25,3892.2,4122.25,17699.2,8014.45
Folies-Dramatiques,,,358.95,,180.75,265.05,365,358.95,630.05
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,20495.3,12675.8,10820.4,12135.65,8235.55,11928.65,10884.35,56127.15,22813
