Théâtres,1861-01-27,1861-01-28,1861-01-29,1861-01-30,1861-01-31,1861-02-01,1861-02-02,27 - 31 jan.,1 - 2 fév.
Opéra,,,,,,,,,
Théâtre Français,3186.2,4980,1137.5,5193.4,4935.2,1249,5289.6,19432.3,6538.6
Opéra-Comique,4625,3752.5,987.5,1533.5,1636.5,1857,2739.5,12535,4596.5
Théâtre des Italiens,2334,,7697.7,,7076.7,,8418.8,17108.4,8418.8
Odéon,1689.75,538.5,393,419.5,573.25,518.5,575.26,3614,1093.76
Théâtre-Lyrique,2893.75,919,1949.25,431.25,2195,842.25,2633.5,8388.25,3475.75
Vaudeville,3032.5,1693,1913,2084,1776,2044.5,2681,10498.5,4725.5
Théâtre des Variétés,3617.5,2080.5,2355,2196.5,2135,2563.5,2537.5,12384.5,5101
Gymnase,2400.5,1113.25,1924.5,2042.75,1648.75,2403,2209.75,9129.75,4612.75
Palais-Royal,2402.25,1213.75,1306,941,902.5,,2045.7,6765.5,2045.7
Porte Saint-Martin,5017.5,4185.75,3876,4503.75,,4439.75,4566,17583,9005.75
Gaîté,3508.8,1607.65,1606.9,1576.65,1384.5,1464.9,,9684.5,1464.9
Ambigu-Comique,,,,,,2336.75,2414.5,,4751.25
Théâtre Impérial du Cirque,6404.7,3722.85,3020.25,3430.95,3762.2,3501.25,3676.2,20340.95,7177.45
Folies-Dramatiques,2075,1055.35,772.1,871.6,909.05,,1866.7,5683.1,1866.7
Délassement Comiques,,1185.75,,,,,,1185.75,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,2035,1645.5,1598.5,1672.5,1507.5,1910,1814,8459,3724
Folies Nouvelles,,,,,,,,,
Total,45222.45,29693.35,30537.2,26897.35,30442.15,25130.4,43468.01,162792.5,68598.41
