Théâtres,1861-12-29,1861-12-30,1861-12-31,,,,,29 - 31 déc.
Opéra,,,,,,,,
Théâtre Français,2379.7,1803.3,1736.6,,,,,5919.6
Opéra-Comique,3561.5,1105,1364.5,,,,,6031
Théâtre des Italiens,,,5493.65,,,,,5493.65
Odéon,750.5,325.25,308.25,,,,,1384
Théâtre-Lyrique,1136.75,310.75,609.75,,,,,2057.25
Vaudeville,3014,3310,2858,,,,,9182
Théâtre des Variétés,3717.5,2852,3019,,,,,9588.5
Gymnase,1898,1089.5,1350.5,,,,,4338
Palais-Royal,1913.85,945.65,1215.4,,,,,4074.9
Porte Saint-Martin,2457.5,1732.25,1621.35,,,,,5811.1
Gaîté,1513.15,653.4,1016,,,,,3182.55
Ambigu-Comique,1507.25,1003,657.25,,,,,3167.5
Théâtre Impérial du Cirque,2276.25,2200,2774.75,,,,,7251
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,26125.95,17330.1,24025,,,,,67481.05
