Théâtres,1861-02-24,1861-02-25,1861-02-26,1861-02-27,1861-02-28,1861-03-01,1861-03-02,24- 28 fév.,1 - 2 mar.
Opéra,,,,,,,,,
Théâtre Français,3775.5,4904.7,1637.9,4911.2,4405.5,1735,4968,19634.8,6703
Opéra-Comique,3402,5559.5,1912.5,5755,1875.5,5696.5,,18504.5,5696.5
Théâtre des Italiens,2842.5,,7246.1,,,,8838.5,10088.6,8838.5
Odéon,2463,1065.5,1544.25,1130.5,1031.25,1056.5,1155.5,7234.5,2212
Théâtre-Lyrique,4247,653.25,1224.75,2246.75,1388.25,2161.25,1490.75,9760,3652
Vaudeville,2107,963.5,1614,1234.5,945,1349,1481,6864,2830
Théâtre des Variétés,2217.5,1567.5,3326.5,1552.5,1909.5,2056.5,2238.5,10573.5,4295
Gymnase,3687.75,2406.5,2543.5,2298.59,1965.25,2518.25,2538.75,12901.59,5057
Palais-Royal,3708.75,3410.75,3406.25,3412.75,3234.25,3253.25,2322.35,17172.75,5575.6
Porte Saint-Martin,4624.75,3402,,,3572.5,3623.5,4002.75,11599.25,7626.25
Gaîté,3054.3,1685.5,1559.5,1577.15,1424.5,1472.4,1601.75,9300.95,3074.15
Ambigu-Comique,2880.75,1524.75,,,,,,4405.5,
Théâtre Impérial du Cirque,4216.35,,2603.8,2636.1,2332.25,2517.75,2576.75,11788.5,5094.5
Folies-Dramatiques,1987.7,,1052.9,,1005.95,724,846.35,4046.55,1570.35
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,1501.5,1392,,2893.5
Folies Nouvelles,,,,,,,,,
Total,45214.85,27143.45,29671.95,26755.04,25089.7,29665.4,35452.95,153874.99,65118.35
