An 1862 - Janvier,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,14912.7,17391.5,21305.2,19528.1,22091.9,,95229.4
Opéra-Comique,20844.5,14810,15380,14342.5,3876.5,,69253.5
Théâtre des Italiens,14268.85,22440.85,23837.85,22197.3,24066.65,,106811.5
Odéon,5834.5,8896,4850.5,4476.5,4813,,28870.5
Théâtre-Lyrique,11455,7609.8,6967.5,8782.75,10162.75,,44977.8
Vaudeville,14828,23701.5,23352.5,20450.1,17708,,100040.1
Théâtre des Variétés,15633,23847.5,19613,15666,11926,,86685.5
Gymnase,10521,11198.25,15833.25,14787.25,16406,,68745.75
Palais-Royal,8629.1,9400.55,15664.35,15234.5,12465.4,,61393.9
Porte Saint-Martin,19669.25,20812.75,22007.25,15843,17156.25,,95488.5
Gaîté,10727.9,14910.35,24613.8,25435.85,21534.15,,97222.05
Ambigu-Comique,11638,8323,11726.5,22664,20860.25,,75211.75
Théâtre Impérial du Cirque,17578,24008.95,20914.1,21717,21881.7,,106099.75
Folies-Dramatiques,2084.75,1621.25,3619.75,2822.5,6761.75,,16910
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,2042,,,,,,2042
Folies Nouvelles,,,,,,,
Total,180666.55,208972.25,229685.55,223947.35,211710.3,0,1054982
