An 1862 - Novembre,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,4152.8,17705.5,15063.6,16919.7,16511.6,3298.1,73651.3
Opéra-Comique,4461.5,22637.75,25148.5,28552.75,22801.75,6339.25,109941.5
Théâtre des Italiens,7774.2,20999.4,25650.5,37573.45,36300.25,12890,141187.8
Odéon,2319,5954,6292.25,6386,4118.75,2055,27125
Théâtre-Lyrique,5885.5,27842.5,27507,27161.5,25931.5,5227.5,119555.5
Vaudeville,2679.5,7256.5,7575.5,6529,6282.5,1445.5,31768.5
Théâtre des Variétés,3269,14792,10837,11786.5,10512.5,3158.5,54355.5
Gymnase,3878.25,23548.25,17760.75,25456,23401.5,3392.5,97437.25
Palais-Royal,3511.5,16928.5,16066.35,13213.42,12433.6,2622,64775.37
Porte Saint-Martin,5874,34323,34581.5,31832.5,28665,5468,140744
Gaîté,4305.5,19162,23672.5,32118,23365,5314,107937
Ambigu-Comique,2815,8343.5,19605.75,16751.25,13577,3745.75,64838.25
Théâtre Impérial du Cirque,8305.75,31947,29663.25,27300.25,22752.7,5604.5,125573.45
Folies-Dramatiques,,,,,,,
Délassement Comiques,1260.5,6615.5,5326,4261,3939.5,900,22302.5
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,2709,13965,16036,15479.5,13110.5,1571,62871
Folies Nouvelles,,,,,,,
Total,63201,272020.4,280786.45,301320.82,263703.65,63031.6,1244063.92
