An 1862 Décembre,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,19876.1,28659.1,28797,29790.7,14924.6,,122047.5
Opéra-Comique,22243.5,25612.25,29894.25,19912.75,13810.5,,111473.25
Théâtre des Italiens,28308.9,34964.15,39765.75,33365.1,20588.1,,156992
Odéon,3241,4657.25,4388.25,6109.1,1464,,19859.6
Théâtre-Lyrique,18363,21271.5,22132,29740,15785,,107291.5
Vaudeville,7808,9214,8011,6626.5,3304.5,,34964
Théâtre des Variétés,9477,12762,8905.5,20243.5,10701,,62089
Gymnase,21355,22434,17672.5,18985,6980,,87426.5
Palais-Royal,12795.4,10901.4,15567.7,12092.4,4827.25,,56184.15
Porte Saint-Martin,19389,33984,31982,26567.5,11776.28,,123698.78
Gaîté,17683.25,17681.25,9152.75,10329.75,4116,,58963
Ambigu-Comique,11163.25,13098.25,9722.75,8551.15,5917.75,,48453.15
Théâtre Impérial du Cirque,20739,19552.25,3758.75,31094.25,11598,,86742.25
Folies-Dramatiques,,,,,,,
Délassement Comiques,2585.5,2609,3262,5012.5,4924.5,,18393.5
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,12616,2460.5,10475,10666.51,5430.5,,41648.51
Folies Nouvelles,,,,,,,
Total,227643.9,259860.9,243487.2,269086.71,136147.98,,1136226.69
