An 1862- Février,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,5495.9,24031,23058.2,23555.5,19626.8,,95767.4
Opéra-Comique,4489,19369.15,15184.9,23491.75,26383.5,,88918.3
Théâtre des Italiens,8909,19906.5,25874,24422.3,19430.15,,98541.95
Odéon,1013,7374.25,8072.75,6748.25,4660.75,,27869
Théâtre-Lyrique,2594.25,11771.25,10210.5,10111.75,7896.9,,42584.65
Vaudeville,3640.5,16714.5,18015.5,16778,10697.5,,65846
Théâtre des Variétés,2423,13405.5,14991.5,10487,12607.5,,53914.5
Gymnase,3223.75,14533.25,15956.75,13341.25,13859.75,,60914.75
Palais-Royal,2812.4,10867.4,15544.26,14128.85,10921.9,,54274.81
Porte Saint-Martin,,,,,,,
Gaîté,3473,24954.75,24631.25,22465.15,17773.1,,93297.25
Ambigu-Comique,3505,23968.25,24279.75,23173,17839.25,,92765.25
Théâtre Impérial du Cirque,4675.15,21765.9,10864.7,,,,37305.75
Folies-Dramatiques,,7150.4,9862.8,9292.15,9260.6,,35565.95
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,1479,6330.5,7642.5,5270,3123,,23845
Folies Nouvelles,,,,,,,
Total,47732.95,222142.6,224189.36,203264.95,174080.7,,871410.56
