Anno 1862 - Mars,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,3088.9,26581.3,20659,19436.4,17972.3,5676,93413.9
Opéra-Comique,5492,29018.004,21512,14686.5,18695,6022.5,95426.004
Théâtre des Italiens,7187,27269.65,43100.15,22934.25,53394.65,5687.5,159573.2
Odéon,948.5,7146,4054,4711,4364,1851.25,23074.75
Théâtre-Lyrique,1462.25,11386.75,3856,9294.25,10790.75,5368.5,42158.5
Vaudeville,2615,15549.5,11359,9335,9561,4380,52799.5
Théâtre des Variétés,2017.5,14459.5,8146,13353,15767.09,5256,58999.09
Gymnase,2253,15810.5,11486.5,14054.25,11738,3718.75,59061
Palais-Royal,2002.9,15598,16584.6,14375.2,14222.55,4078.6,66861.85
Porte Saint-Martin,,6452.75,2975.25,,,,9428
Gaîté,2604.4,18239.8,13860.6,10795.85,10462.2,3384.95,59347.8
Ambigu-Comique,3008.75,20038.5,15825.5,15490.25,15070.5,4915.25,74348.75
Théâtre Impérial du Cirque,3204.5,44123.15,42018.4,30035.3,41854.65,12181.6,173417.6
Folies-Dramatiques,2007.8,9645.6,6736.1,7066.15,6413.7,593.35,32462.7
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,1592.5,7583,,606.5,11170.5,1914.5,22867
Folies Nouvelles,,,,,,,
Total,39485,268902.004,222173.1,186173.9,241476.89,65028.75,1023239.644
