An 1862 - Avril,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,10447,15196,8319.7,13904.3,8955.8,,56822.8
Opéra-Comique,10917.5,15712,24033.85,18685.5,10969.5,,80318.35
Théâtre des Italiens,47234.85,24654.35,8502.5,25954.85,17639.5,,123986.05
Odéon,1827.75,2720.25,3313.1,4464.5,4090.25,,16415.85
Théâtre-Lyrique,13624,17701.5,9166.5,18150.5,7814.25,,66456.75
Vaudeville,9286,6879.5,5019.59,5888.5,4429,,31502.59
Théâtre des Variétés,6240.25,13921,10030.5,11172.5,6308,,47672.25
Gymnase,6240.25,8572,13104,18235,10571.25,,56722.5
Palais-Royal,5997.55,10526.25,7770.7,10905,5216.4,,40415.9
Porte Saint-Martin,0,,0,0,,,0
Gaîté,4946.1,15858,12194.3,11702.65,5123.2,,49824.25
Ambigu-Comique,7817.5,11672.5,10021,11285,9164.75,,49960.75
Théâtre Impérial du Cirque,27788.25,37827.6,21008.7,36429.45,20764.9,,143818.9
Folies-Dramatiques,3410.05,4787.5,7246.65,6232.65,3319.5,,24996.35
Délassement Comiques,,,,,,,0
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,2109.5,6823.5,3484.5,,12417.5
Folies Nouvelles,,,,,,,0
Total,155777.05,186028.45,141840.59,199833.9,117850.8,,801330.79
