An 1862 Juin,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,10423.6,13475.8,14653.5,11102.7,3914.5,,53570.1
Opéra-Comique,23417.5,27131,23896,23343.25,3417.5,,101205.25
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,2083,2834.5,7612.5,4053,1264,,17847
Théâtre des Variétés,5754,9157,7058,15549.5,5063.5,,42582
Gymnase,5628.25,10811.25,8784.75,6159.5,935.25,,32319
Palais-Royal,6468.25,9589.15,7186.25,6015.5,1774.95,,31034.1
Porte Saint-Martin,5322.25,1138.6,2532,4384.5,3305.25,,16682.6
Gaîté,6815.95,11056.15,15033.65,11133.75,3343,,47382.5
Ambigu-Comique,9943.75,13698,12221.5,7690.25,,,43553.5
Théâtre Impérial du Cirque,15927.05,23590.8,18448.85,18479.45,5770.65,,82216.8
Folies-Dramatiques,2249.25,5555.1,5480.15,4081.1,1740.85,,19106.45
Délassement Comiques,3878,6157,4698,3017,760,,18510
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,97910.85,134194.35,127605.15,115009.5,31289.45,,506009.3
