An 1862 - Août,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,1742.9,8966.99,9181.9,15640.1,14299.2,3417.6,53248.69
Opéra-Comique,4122,15706.75,15142.5,21930,18113.5,3015.5,78030.25
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,480.5,6680,10029,8687.5,6922.5,1093.5,33893
Théâtre des Variétés,1442,7862,9083,11234.5,11751,3450,44822.5
Gymnase,787,6598.25,5706.75,8545.25,7214,1513.5,30364.75
Palais-Royal,1157.45,6379.2,9953.05,17575.45,11019.05,1516,47600.2
Porte Saint-Martin,959.25,16509.5,15545,16819.5,10455.5,2551.25,62840
Gaîté,617.05,964.3,0,0,,0,1581.35
Ambigu-Comique,1198.75,4955.75,11767.5,17484.5,13467,3501.25,52374.75
Théâtre Impérial du Cirque,,,,27460.25,54079.5,8221.25,89761
Folies-Dramatiques,,,,,,,
Délassement Comiques,247,1870,1741,2414,2782,364,9418
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,12753.9,76492.74,88149.7,147791.05,150103.25,28643.85,503934.49
