Théâtres,1862-01-01,1862-01-02,1862-01-03,1862-01-04,,,1 - 4 jan.
Opéra,,,,,,,
Théâtre Français,3709.4,3792.5,3369.4,4041.4,,,14912.7
Opéra-Comique,5510.5,5007.5,5586.5,4740,,,20844.5
Théâtre des Italiens,,5678.7,,8590.15,,,14268.85
Odéon,1316.75,1286.25,1599,1632.5,,,5834.5
Théâtre-Lyrique,2943.25,3430.75,2192.25,2888.75,,,11455
Vaudeville,3314,3834.5,3776,3903.5,,,14828
Théâtre des Variétés,4059.5,4082.5,3773.5,3717.5,,,15633
Gymnase,2154.75,2927,2893.5,2545.75,,,10521
Palais-Royal,2208.95,2103.2,2311.95,2005,,,8629.1
Porte Saint-Martin,4495.5,5035.5,5126.75,5011.5,,,19669.25
Gaîté,2572.25,2810.4,2913.95,2431.3,,,10727.9
Ambigu-Comique,2501.5,3352.5,3055,2729,,,11638
Théâtre Impérial du Cirque,5008.75,6424.9,6144.35,,,,17578
Folies-Dramatiques,,,,2084.75,,,2084.75
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,957,1085,,,,,2042
Folies Nouvelles,,,,,,,
Total,40752.1,50851.2,42742.15,46321.1,,,180666.55
