Théâtres,1862-03-30,1862-03-31,1862-04-01,1862-04-02,1862-04-03,1862-04-04,1862-04-05,30 - 31 mar.,1 - 5  avr.
Opéra,,,,,,,,,
Théâtre Français,3884.7,1791.3,1321.2,2554.4,2396.3,2064.6,2110.5,5676,10447
Opéra-Comique,4480.5,1542,2351,1718,2896.5,2029,1923,6022.5,10917.5
Théâtre des Italiens,5687.5,,10455,,10074.75,17146.5,9558.6,5687.5,47234.85
Odéon,1598.5,252.75,340,405,333.25,400.25,349.25,1851.25,1827.75
Théâtre-Lyrique,1554.75,3813.75,4096.5,516,4139.75,418.5,4453.25,5368.5,13624
Vaudeville,2649.5,1730.5,1576.5,2231,2897.5,1339.5,1241.5,4380,9286
Théâtre des Variétés,3255,2001,1411.25,1077.25,1138.25,1263.75,1349.75,5256,6240.25
Gymnase,2716.75,1002,1411.25,1077.25,1138.25,1263.75,1349.75,3718.75,6240.25
Palais-Royal,2548.4,1530.2,1614.55,1415.75,1211.15,,1756.1,4078.6,5997.55
Porte Saint-Martin,,,,,,,,,
Gaîté,2195.65,1189.3,1283.3,1376.75,1119.05,1167,,3384.95,4946.1
Ambigu-Comique,3410.75,1504.5,1603.5,1502.5,1302,1701.75,1707.75,4915.25,7817.5
Théâtre Impérial du Cirque,6562.6,5619,5602.75,5741.2,5476.6,5756.45,5211.25,12181.6,27788.25
Folies-Dramatiques,,593.35,561.1,376.85,1427.8,548.9,495.4,593.35,3410.05
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1914.5,,,,,,,1914.5,
Folies Nouvelles,,,,,,,,,
Total,42459.1,22569.65,33627.9,19991.95,35551.15,35099.95,31506.1,65028.75,155777.05
