Théâtres,1862-06-29,1862-06-30,1862-07-01,1862-07-02,1862-07-03,1862-07-04,1862-07-05,29 - 30 juin,1 - 5 juil.
Opéra,,,,,,,,,
Théâtre Français,2204.7,1709.8,1353.3,1939.6,1180.7,1490.9,1345.2,3914.5,7309.7
Opéra-Comique,1746.5,1671,6141.5,1300,6080,1024.5,4538,3417.5,19084
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,541.5,722.5,749.5,703.5,603,479.5,285,1264,2820.5
Théâtre des Variétés,2325,2738.5,2906.5,2676,2292,1708.5,1148,5063.5,10731
Gymnase,935.25,1.005.75,1136.25,906.25,728.5,810,461.75,935.25,4042.75
Palais-Royal,767.7,1007.25,1514.75,3818.5,1412.2,1305.5,510.2,1774.95,8561.15
Porte Saint-Martin,1279.75,2025.5,1920,1373.25,1200,1006,660.5,3305.25,6159.75
Gaîté,1713.9,1629.1,1446.4,1723.9,1333.9,1101.75,591.65,3343,6197.6
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,2555.65,3215,2773,2204,1940.25,2041.5,1612,5770.65,10570.75
Folies-Dramatiques,933.1,807.75,808.55,702.4,511.95,474.25,376.4,1740.85,2873.55
Délassement Comiques,295,465,972,445,323,211,165,760,2116
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,15298.05,15991.4,21721.75,17792.4,17605.5,11653.4,11693.7,31289.45,80466.75
