Théâtres,1862-08-31,1862-09-01,1862-09-02,1862-09-03,1862-09-04,1862-09-05,1862-09-06,31 août,1 - 6 sept.
Opéra,,,,,,,,,
Théâtre Français,3417.6,1881.1,3076.9,1774.9,2566.2,2462.6,2621.7,3417.6,14383.4
Opéra-Comique,3015.5,2279.75,2200,2741,2357.5,1991.5,2269.5,3015.5,13839.25
Théâtre des Italiens,,,,,,,,,
Odéon,,1194,665.25,793.25,569.75,448.25,279,,3949.5
Théâtre-Lyrique,,,,,,,,,
Vaudeville,1093.5,1095,693,792.5,611,1488.5,1433.5,1093.5,6113.5
Théâtre des Variétés,3450,2847.5,3015,2747.5,2897.6,2436,2032,3450,15975.6
Gymnase,1513.5,1201.5,1181.25,1577.5,1349.25,1359.75,841.5,1513.5,7510.75
Palais-Royal,1516,1520.2,1915.65,,1311.2,1711.2,1030.45,1516,7488.7
Porte Saint-Martin,2551.25,1819.75,1778.5,,,,,2551.25,3598.25
Gaîté,,,,3004.25,3627.25,3966.75,3320.25,0,13918.5
Ambigu-Comique,3501.25,2239.75,1838.5,2528,2363,2245.75,3815.75,3501.25,15030.75
Théâtre Impérial du Cirque,8221.25,7739.25,8082.25,8188.5,8051.75,8164.25,7344.25,8221.25,47570.25
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,364,543,460,513,263,246,141,364,2166
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,28643.85,24360.8,24906.3,24660.4,25967.5,26520.55,25128.9,28643.85,151544.45
