Théâtres,1862-09-21,1862-09-22,1862-09-23,1862-09-24,1862-09-25,1862-09-26,1862-09-27,21- 27  sept.
Opéra,,,,,,,,
Théâtre Français,1998,1718,1520.1,2150.7,2564.3,1550.8,,11501.9
Opéra-Comique,2927,3017.5,3214,1531.5,3384.5,3122,3184.5,20381
Théâtre des Italiens,,,,,,,,
Odéon,1194,474.5,657.25,432.5,567,454,374.5,4153.75
Théâtre-Lyrique,,,,,,,,
Vaudeville,1095.5,887.5,702,1031,2621.5,687,657,7681.5
Théâtre des Variétés,2429,1780.5,1730.5,1414.5,1759,1827.5,1638.5,12579.5
Gymnase,1939.75,1315.5,1558,1430,1401.5,1213.75,1008.75,9867.25
Palais-Royal,1731.75,1305.7,1650.95,1611.5,1610,1215.2,1018.95,10144.05
Porte Saint-Martin,5755.5,5067.75,5439.75,5367.5,5391.5,5513.5,5984.5,38520
Gaîté,2900.75,1907.75,2300.75,1933,2015.25,2047.5,1451.25,14556.25
Ambigu-Comique,2747,1706.75,1504.75,1208.75,1342.5,1403.5,,9913.25
Théâtre Impérial du Cirque,6720.5,6166.75,7432.5,6004.5,7254,6759.75,5567,45905
Folies-Dramatiques,,,,,,,,
Délassement Comiques,322,423,328,566,383,204,222,2448
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,31760.75,25771.2,28038.55,24681.45,30294.05,25998.5,21106.95,187651.45
