Théâtres,1862-09-28,1862-09-29,1862-09-30,1862-10-01,1862-10-02,1862-10-03,1862-10-04,28 - 30  sept.,1 - 4 oct.
Opéra,,,,,,,,,
Théâtre Français,3066.5,1217.4,2190,1476,2065.3,2006.1,3485.4,6473.9,9032.8
Opéra-Comique,3271.5,2028,2589.75,2567,3084,2525,4019,7889.25,12195
Théâtre des Italiens,,,,,10129.85,,7281.7,,17411.55
Odéon,1217.75,354.75,409.5,579.25,414.25,527,665.75,1982,2186.25
Théâtre-Lyrique,,,,,,,,,
Vaudeville,1289.5,604,846,,,768,1165,2739.5,1933
Théâtre des Variétés,2256.5,1551.4,1408,2126,2953.5,1863.5,2501.5,5215.9,9444.5
Gymnase,2242.5,1343.5,1591,1582.75,1810.75,1769.5,1753,5177,6916
Palais-Royal,1707,1125,1320.2,1216.1,1424,1527,1509.95,4152.2,5677.05
Porte Saint-Martin,6011,5007.75,5279.75,5321,5403.25,5520.25,5376.25,16298.5,21620.75
Gaîté,4645.75,3473.5,3608,4333.75,4333.5,4249.75,3620.4,11727.25,16537.4
Ambigu-Comique,,1406,931.5,1407,1541.5,1549.75,1240.75,2337.5,5739
Théâtre Impérial du Cirque,7202.5,6403,5005.25,6782.5,6752.25,7284.25,7160.75,18610.75,27979.75
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,238,269,223,347,352,427,,730,1126
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,1919,1727,1823,1743,,7212
Folies Nouvelles,,,,,,,,,
Total,33148.5,24783.3,25401.95,29657.35,41991.15,31840.1,41522.45,83333.75,145011.05
