Théâtres,1862-10-26,1862-10-27,1862-10-28,1862-10-29,1862-10-30,1862-10-31,1862-11-01,26 - 31 oct.,1 nov.
Opéra,,,,,,,,,
Théâtre Français,4648.5,2968.6,2794.4,1274.7,2851.2,1886,4152.8,16423.4,4152.8
Opéra-Comique,2960.5,5116,2561,5161.5,2240,4242,4461.5,22281,4461.5
Théâtre des Italiens,,,9733.45,,7868.2,,7774.2,17601.65,7774.2
Odéon,2032,589,631.75,502.25,351,694.75,2319,4800.75,2319
Théâtre-Lyrique,,,,,,4701,5885.5,4701,5885.5
Vaudeville,2834,1828.5,1404,1517.5,1203.5,1022.5,2679.5,9810,2679.5
Théâtre des Variétés,2900.5,1741,1518.5,1618.5,1078.5,1282,3269,10139,3269
Gymnase,3487,,,1413.25,2430.5,2610,3878.25,9940.75,3878.25
Palais-Royal,3741.25,2811.75,2903.95,2704.45,2705.25,2512.65,3511.5,17379.3,3511.5
Porte Saint-Martin,6026.25,4787.5,4916.5,5012.75,4762.5,4358.25,5874,29863.75,5874
Gaîté,4415,2579.75,2849.1,2326.75,2000.75,1854,4305.5,16025.35,4305.5
Ambigu-Comique,3550,1557.25,1450.75,1063.25,1004.75,869.75,2815,9495.75,2815
Théâtre Impérial du Cirque,6653.25,4352,4636.75,4204,4117.75,,8305.75,23963.75,8305.75
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,1400,1102,1071,1183,871,1050,1260.5,6677,1260.5
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1902.5,,,,,,2709,1902.5,2709
Folies Nouvelles,,,,,,,,,
Total,46550.75,29433.35,36471.15,27981.9,33484.9,27082.9,63201,201004.95,63201
