Théâtres,1862-11-30,1862-12-01,1862-12-02,1862-12-03,1862-12-04,1862-12-05,1862-12-06,30 nov.,1 - 6 déc.
Opéra,,,,,,,,,
Théâtre Français,3298.1,2446,1573.4,4305.9,4750.9,1248.7,5551.2,3298.1,19876.1
Opéra-Comique,6339.25,2159.5,4524.75,3484.5,3497.5,3274.5,5302.75,6339.25,22243.5
Théâtre des Italiens,12890,,8591.7,,11590.2,,8127,12890,28308.9
Odéon,2055,695.5,665.75,417,368.75,600.25,493.75,2055,3241
Théâtre-Lyrique,5227.5,2832,3353.5,3267.5,2566.5,2883,3460.5,5227.5,18363
Vaudeville,1445.5,1441.5,1141.5,1009.5,972,,3243.5,1445.5,7808
Théâtre des Variétés,3158.5,1597,1741,1676.5,1390,1550,1522.5,3158.5,9477
Gymnase,3392.5,3827.5,3620,3645.75,3245.75,3439,3577,3392.5,21355
Palais-Royal,2622,1912.7,1605.25,1810.25,1607.5,4049.5,1810.2,2622,12795.4
Porte Saint-Martin,5468,,,4974,4710.5,4803.75,4900.75,5468,19389
Gaîté,5314,3697,3825.75,2662,2553.25,2284.75,2660.5,5314,17683.25
Ambigu-Comique,3745.75,2413,2778.25,1658.5,1457,1334.5,1522,3745.75,11163.25
Théâtre Impérial du Cirque,5604.5,3513.25,3755.75,3702.75,3005.75,2745.25,4016.25,5604.5,20739
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,900,433,503.5,538,552,559,,900,2585.5
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1571,2086.5,1914,2242,2046,2056,2271.5,1571,12616
Folies Nouvelles,,,,,,,,,
Total,63031.6,29054.45,39594.1,35394.15,44313.6,30828.2,48459.4,63031.6,227643.9
