Théâtres,1862-01-26,1862-01-27,1862-01-28,1862-01-28,1862-01-30,1862-01-31,1862-02-01,26 - 31  jan.,1 fév.
Opéra,,,,,,,,,
Théâtre Français,4138.4,3825.6,2757,4138.3,2928.3,4304.3,5495.9,22091.9,5495.9
Opéra-Comique,3876.5,,,,,,4489,3876.5,4489
Théâtre des Italiens,,,7947.85,10846,5272.8,,8909,24066.65,8909
Odéon,1649.5,423.5,916,459.5,537.25,827.25,1013,4813,1013
Théâtre-Lyrique,2821.25,2053.75,1546.25,1406.5,1366.5,968.5,2594.25,10162.75,2594.25
Vaudeville,3016,3182.5,3153,2730,2317,3309.5,3640.5,17708,3640.5
Théâtre des Variétés,3167,2147.5,1858,1461.5,1517.5,1774.5,2423,11926,2423
Gymnase,3703,3034.5,2714,2331.75,1976.5,2646.25,3223.75,16406,3223.75
Palais-Royal,3013.5,2009,1908.7,1902.25,1602.95,2029,2812.4,12465.4,2812.4
Porte Saint-Martin,4037.75,2958.75,2787.25,2445.5,2472,2455,,17156.25,0
Gaîté,4157.3,3767.35,3608.65,3404,3271.45,3325.4,3473,21534.15,3473
Ambigu-Comique,4128.25,3600.75,3404,3407,3116.75,3203.5,3505,20860.25,3505
Théâtre Impérial du Cirque,5427,4133.7,4015.75,2721.75,2705,2878.5,4675.15,21881.7,4675.15
Folies-Dramatiques,2105.3,1268.7,1100.1,672.15,642.25,973.25,,6761.75,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,1479,,1479
Folies Nouvelles,,,,,,,,,
Total,45240.75,32405.6,37716.55,37926.2,29726.25,28694.95,47732.95,211710.3,47732.95
