Théâtres,1862-12-28,1862-12-29,1862-12-30,1862-12-31,,,,28 - 31 déc.
Opéra,,,,,,,,
Théâtre Français,3165.6,5216.6,1142.6,5399.8,,,,14924.6
Opéra-Comique,5397.25,1937.25,3496,2980,,,,13810.5
Théâtre des Italiens,9851,,10737.1,,,,,20588.1
Odéon,681.5,356.5,187,239,,,,1464
Théâtre-Lyrique,2610,5944,5961.5,1269.5,,,,15785
Vaudeville,1389,695.5,648,572,,,,3304.5
Théâtre des Variétés,3744,2539.5,2570.5,1847,,,,10701
Gymnase,1612.25,1872.75,1867.75,1627.25,,,,6980
Palais-Royal,1705.75,835.2,1065.4,1220.9,,,,4827.25
Porte Saint-Martin,4052.5,2552,2703,2468.78,,,,11776.28
Gaîté,2210,510.5,601.25,794.25,,,,4116
Ambigu-Comique,2502.25,1203.5,1209.25,1002.75,,,,5917.75
Théâtre Impérial du Cirque,5273.25,3309.25,,3015.5,,,,11598
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1528.5,1014,1221,1161,,,,4924.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1984.5,1048,986.5,1411.5,,,,5430.5
Folies Nouvelles,,,,,,,,
Total,47707.35,29034.55,34396.85,25009.23,,,,136147.98
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,  
