Théâtres,1862-02-23,1862-02-24,1862-02-25,1862-02-26,1862-02-27,1862-02-28,1862-03-01,23 - 28 fév.,1 mar.
Opéra,,,,,,,,,
Théâtre Français,4213.2,2963.2,2963.4,3250.5,2927.8,3308.7,3088.9,19626.8,3088.9
Opéra-Comique,5023.5,4475,3462,4780,3189,5454,5492,26383.5,5492
Théâtre des Italiens,4318.5,,7521.65,,7590,,7187,19430.15,7187
Odéon,1504.5,581.75,599.25,528.75,841.25,605.25,948.5,4660.75,948.5
Théâtre-Lyrique,2711.5,1151.75,1051.5,820.75,1046.15,1115.25,1462.25,7896.9,1462.25
Vaudeville,2652,1765.5,,1987.5,2067,2225.5,2615,10697.5,2615
Théâtre des Variétés,3057,2036.5,2046.5,2003.5,1492.5,1971.5,2017.5,12607.5,2017.5
Gymnase,2827.5,2215.25,2385.5,1884.75,2012.5,2534.25,2253,13859.75,2253
Palais-Royal,2714.75,1612.75,1718.25,1507.4,1711,1657.75,2002.9,10921.9,2002.9
Porte Saint-Martin,,,,,,,,,
Gaîté,3818.15,2805.9,2748.75,2841.25,2712.15,2846.9,2604.4,17773.1,2604.4
Ambigu-Comique,3929.25,3003.25,2643,2535,3006.75,2722,3008.75,17839.25,3008.75
Théâtre Impérial du Cirque,,,,,,,3204.5,,3204.5
Folies-Dramatiques,2306.25,1561.25,1232.5,1261.75,1449.3,1449.55,2007.8,9260.6,2007.8
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1317,787,1019,,,,1592.5,3123,1592.5
Folies Nouvelles,,,,,,,,,
Total,40393.1,24959.1,29391.3,23401.15,30045.4,25890.65,39485,174080.7,39485
