An 1863 - Janvier,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,15711.2,28846.6,31323.4,27778.6,27568,,131227.8
Opéra-Comique,20002,28685.1,30416.5,28519,29228.75,,136851.35
Théâtre des Italiens,18152.9,30167.5,37047.75,42289.25,44522.7,,172180.1
Odéon,4892.5,4107,3947.35,5110.5,7580.75,,25638.1
Théâtre-Lyrique,18104.5,32512.5,27542,28274.5,23030.5,,129464
Vaudeville,5903,7212,7691.5,8472.5,8359,,37638
Théâtre des Variétés,10730,15785.5,14770,14965,11872,,68122.5
Gymnase,10719.75,15340.75,15378.5,15706,14720,,71865
Palais-Royal,8572.65,14542.45,12386.2,14584.7,13421.75,,63507.75
Porte Saint-Martin,17084.5,29764.25,27796.75,29530.5,28455,,132631
Gaîté,9751.5,15275.25,9584,12453.75,22785.7,,69850.2
Ambigu-Comique,10575.25,14298.75,11190.25,11131,8221.75,,55417
Théâtre Impérial du Cirque,26079,35202.75,17924.75,25051.9,23190.5,,127448.9
Folies-Dramatiques,,,,,,,
Délassement Comiques,2942.5,9089,6939.5,7507.5,4982.5,,31461
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,6438,10126.5,11932.5,10808,10784,,50089
Folies Nouvelles,,,,,,,
Total,185659.25,290955.9,265870.95,282182.7,278722.9,,1303391.7
