An 1863 Décembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,14660.94,28734.33,26274.18,22732.07,12792.84,,105194.36
Théâtre Français,12525.9,14839.4,20354,17470.6,12549.4,,77739.3
Opéra-Comique,15712.5,29993.5,23157.25,22649.25,16635,,108147.5
Théâtre des Italiens,,,,,,,
Odéon,3227.75,6142,5166.25,4843.75,3024.25,,22404
Théâtre-Lyrique,11329.5,19046.5,16551.5,14875,7675,,69477.5
Vaudeville,17590.5,21073.5,19988.5,15892,8640.5,,83185
Théâtre des Variétés,6113.5,12403.5,12265.5,16246,12177,,59205.5
Gymnase,17644.5,24030.5,21592.25,22650.5,12861.75,,98779.5
Palais-Royal,9325.65,15414.15,13063.15,13979.25,18158.5,,69940.7
Porte Saint-Martin,22606.06,33352.5,28052.25,23510.75,10737,,118258.56
Gaîté,13805.75,20990.75,37462,18996.9,12712.75,,103968.15
Ambigu-Comique,13103,9487.25,19777.5,14365.75,1474.75,,58208.25
Théâtre Impérial du Cirque,,,2862,17959.75,3259,,24080.75
Folies-Dramatiques,3523.05,7963.3,5173.95,10649.7,3520,,30830
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,161168.6,243471.18,251740.28,236821.27,136217.74,,1029419.07
