An 1863 - Février,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,31760.2,31897.6,32803.09,29179.6,,,125640.49
Opéra-Comique,26246.5,27659.5,29121.75,18957.75,,,101985.5
Théâtre des Italiens,46387,51417.5,34753,23925.65,,,156483.15
Odéon,4552,9154.5,18755,13664.5,,,46126
Théâtre-Lyrique,28479,30633,32732.5,25988,,,117832.5
Vaudeville,8237.5,9646,14648.5,8114,,,40646
Théâtre des Variétés,9920.2,10510.5,19952.5,13520.5,,,53903.7
Gymnase,13169.5,13037.5,16567.75,15870.25,,,58645
Palais-Royal,11260.95,16905.75,17837.75,12782.7,,,58787.15
Porte Saint-Martin,27691.25,28638.25,23483.25,21935,,,101747.75
Gaîté,18474,14283.75,16738.25,13507.25,,,63003.25
Ambigu-Comique,21948.27,20181.75,17409.5,13952,,,73491.52
Théâtre Impérial du Cirque,28234.5,28072.5,16522.5,5605.5,,,78435
Folies-Dramatiques,10381.8,6303.15,9464.15,8703.35,,,34852.45
Délassement Comiques,4908.5,3686.4,3933,2222.5,,,14750.4
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,9213,9896,10417,13200.6,,,42726.6
Folies Nouvelles,,,,,,,
Total,300864.17,311923.65,315139.49,241129.15,,,1169056.46
