An 1863 - Juillet,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,0,6211.6,18248.94,21573.35,19352.51,,65386.4
Théâtre Français,4687.7,5495.8,5753.1,7421.8,6866.5,,30224.9
Opéra-Comique,5846.25,8370.5,6428,12432,9950.95,,43027.7
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,3149,1739.5,1742.5,3079.5,2142.5,,11853
Théâtre des Variétés,1758,6927,6566.5,9798,6145,,31194.5
Gymnase,1311.75,1433.5,4090,14261.5,11048,,32144.75
Palais-Royal,2981.46,4837.9,4223.3,6649.2,4564.75,,23256.61
Porte Saint-Martin,6272.5,8885.75,9653,12791,11419.25,,49021.5
Gaîté,2946.75,3692,3882.25,5288.25,1904,,17713.25
Ambigu-Comique,3116.5,5654.25,4510.25,6943,2728.25,,22952.25
Théâtre Impérial du Cirque,,,,,1856.25,,1856.25
Folies-Dramatiques,3116.4,994.55,2494,2708.3,2393,,11706.25
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,35186.31,54242.35,67591.84,102945.9,80370.96,,340337.36
