Théâtres,1863-01-01,1863-01-01,1863-01-01,,,,,1 - 3 jan.
Opéra,,,,,,,,
Théâtre Français,3305.2,6268.5,6137.5,,,,,15711.2
Opéra-Comique,6449,6491,7062,,,,,20002
Théâtre des Italiens,6089.25,,12063.65,,,,,18152.9
Odéon,1386.75,1822,1683.75,,,,,4892.5
Théâtre-Lyrique,6540.5,4542,7022,,,,,18104.5
Vaudeville,1572,1964,2367,,,,,5903
Théâtre des Variétés,3467.5,3689,3573.5,,,,,10730
Gymnase,3243.5,3708.5,3767.75,,,,,10719.75
Palais-Royal,2819.7,3017.25,2735.7,,,,,8572.65
Porte Saint-Martin,5004,6007,6073.5,,,,,17084.5
Gaîté,2555,3548.5,3648,,,,,9751.5
Ambigu-Comique,3411.75,3701,3462.5,,,,,10575.25
Théâtre Impérial du Cirque,7812.25,9018.25,9248.5,,,,,26079
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1339,1603.5,1.479.50,,,,,2942.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1744.5,2275,2418.5,,,,,6438
Folies Nouvelles,,,,,,,,
Total,56739.9,57655.5,71263.85,,,,,185659.25
