Théâtres,1863-03-01,1863-03-02,1863-03-03,1863-03-04,1863-03-05,1863-03-06,1863-03-07,1 - 7 mar.
Opéra,,,,,,,,
Théâtre Français,4213.1,5178,2968,5354.4,4956,2759.1,5225.1,30653.7
Opéra-Comique,4639.5,1296.25,3533.5,3069,1094.5,2338.5,,15971.25
Théâtre des Italiens,3829.5,,6374.65,,6443.3,,9142.5,25789.95
Odéon,3156.25,1989,2034.75,314.5,1806,1510.75,1535.25,12346.5
Théâtre-Lyrique,2005,1031.5,6002.5,826.5,5833,850.5,5368.5,21917.5
Vaudeville,1321.5,735,705,569.5,,1148,2064,6543
Théâtre des Variétés,2467.5,1215.5,1211.5,1112.5,1190.5,1317,1376.5,9891
Gymnase,2375.75,1236,1218.25,1207.25,1084.5,1239.5,956,9317.25
Palais-Royal,2803.75,2316.95,2411.45,2607.45,2610.15,2804.95,2811.45,18366.15
Porte Saint-Martin,4009.5,2798.5,2885.75,3062.5,2849.75,2626.75,2189.5,20422.25
Gaîté,2772.25,1383.25,1033,,,,,5188.5
Ambigu-Comique,3308.25,1404.25,1600,2402,1715.75,1606.5,1403,13439.75
Théâtre Impérial du Cirque,9302.75,6674.75,6573.25,6853.25,6332.75,6146,6133.25,48016
Folies-Dramatiques,2435.15,1137.4,851.7,,878.4,637.25,704.65,6644.55
Délassement Comiques,325,264,521,265.5,278,340,119,2112.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1978,2011.5,1860,2087,1766,1985,2103,13790.5
Folies Nouvelles,,,,,,,,
Total,50942.75,30671.85,41784.3,29731.35,38838.6,27309.8,41131.7,260410.35
