Théâtres,1863-03-29,1863-03-30,1863-03-31,1863-04-01,1863-04-02,1863-04-03,1863-04-04,29- 31 mar.,1 - 4 avr.
Opéra,,,,,,,,,
Théâtre Français,4330,3929.4,5761.7,4580,,,,14021.1,4580
Opéra-Comique,2466,1968,1603,1247.5,,,,6037,1247.5
Théâtre des Italiens,6691,,9384,,6944.9,,7926.1,16075,14871
Odéon,1481,812,640.75,610.5,,,,2933.75,610.5
Théâtre-Lyrique,1803.5,5502,1425.5,734,,,2748.5,8731,3482.5
Vaudeville,1138.5,504.5,613,557,1038,,1028,2256,2623
Théâtre des Variétés,1639.5,1409,1091.5,1100,1118,,881,4140,3099
Gymnase,2761.75,1843,1590.5,1905,1334.75,,1202.75,6195.25,4442.5
Palais-Royal,2412.5,1802,1829.9,1810.2,1205.65,,1417.85,6044.4,4433.7
Porte Saint-Martin,5121.75,3344.5,3044.5,300.25,2142,,1675,11510.75,4117.25
Gaîté,4477.75,2735.25,2132,2557.5,2234.5,,1261.25,9345,6053.25
Ambigu-Comique,707.75,404.76,335.75,,,,1242.25,1448.26,1242.25
Théâtre Impérial du Cirque,5727,3534.75,,4009.5,4011.75,,3506.25,9261.75,11527.5
Folies-Dramatiques,1500,709.45,653.65,493.95,453.1,,334.1,2863.1,1281.15
Délassement Comiques,547,42,357.5,362.5,376.5,,226,946.5,965
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,799.5,1391,1332,1492.5,1202.5,,934.5,3522.5,3629.5
Folies Nouvelles,,,,,,,,,
Total,43604.5,29931.61,31795.25,21760.4,22061.65,0,24383.55,105331.36,68205.6
