Théâtres,1863-04-26,1863-04-27,1863-04-28,1863-04-29,1863-04-30,1863-05-01,1863-05-02,26 - 30 avr.,1 - 2 mai
Opéra,,,,,,,,,
Théâtre Français,2036.8,2656.1,2838.2,2193.6,3245.9,3466.5,1446.9,12970.6,4913.4
Opéra-Comique,1923,1826,2164.5,2366.5,2687.5,2806.5,3043.5,10967.5,5850
Théâtre des Italiens,,6668,10546.35,,12617.95,,,29832.3,
Odéon,827.75,731,727.5,664,760.75,925,706.5,3711,1631.5
Théâtre-Lyrique,1388,4207,2071,904.5,2411,1945.5,2558,10981.5,4503.5
Vaudeville,1347.5,1935,2507,2760,2647.5,2933,3261,11197,6194
Théâtre des Variétés,1488,696.5,1220.5,785,860,,1864.5,5050,1864.5
Gymnase,1862.25,1922.25,2372.5,2286.75,1851.25,2468.5,2420.5,10295,4889
Palais-Royal,1625.45,2023.5,2309.4,2511.45,2238.45,4359,2332.2,10708.25,6691.2
Porte Saint-Martin,1754.75,1711.5,1691.75,1861,1088.5,1567,,8107.5,1567
Gaîté,2255.5,1807.75,2092.5,2473.25,2336.25,1810.5,1713.25,10965.25,3523.75
Ambigu-Comique,1503,1020.75,1016.25,1035,1140.25,1230.25,914.25,5715.25,2144.5
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,821.5,425.3,469.15,1487.7,533.15,587.1,477.8,3736.8,1064.9
Délassement Comiques,345.5,267,637.59,547.5,516,792.5,478.5,2313.59,1271
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,846,1131.5,1659,1905,1664,,,7205.5,
Folies Nouvelles,,,,,,,,,
Total,20025,29029.15,34323.19,23781.25,36598.45,24891.35,21216.9,143757.04,46108.25
