Théâtres,1863-05-31,1863-06-01,1863-06-01,1863-06-03,1863-06-04,1863-06-05,1863-06-06,31 mai,1 - 6 juin
Opéra,,,,,,,,,
Théâtre Français,1425.6,1398.9,1647,1086.3,1814.7,1369.9,1123.5,1425.6,8440.3
Opéra-Comique,3296,2238,1120.5,1614,,2347,3556.5,3296,10876
Théâtre des Italiens,,,,,,,,,
Odéon,1150.25,,,,,,,1150.25,
Théâtre-Lyrique,2318.5,,,,,,,2318.5,
Vaudeville,1098.5,731,925,323,1074.5,968.5,1862.5,1098.5,5884.5
Théâtre des Variétés,1522,515,604.5,506,736.5,558,1632.5,1522,4552.5
Gymnase,1277.25,605.5,912.25,570,675,853,1136,1277.25,4751.75
Palais-Royal,1810.25,975.15,1030.15,888.15,1301.3,1123.7,2404,1810.25,7722.45
Porte Saint-Martin,5252,3454,3535,3399,3644.75,3633,4581.5,5252,22247.25
Gaîté,2083.75,920.5,1000.25,700.5,844.5,963.75,1117.5,2083.75,5547
Ambigu-Comique,2038.25,1208,1002.5,650.25,805,866,926.5,2038.25,5458.25
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2436.6,1385.7,1326.4,1164.7,1265.5,,1267.75,2436.6,6410.05
Délassement Comiques,130.5,,,,,,,130.5,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,25839.45,13431.75,13103.55,10901.9,12161.75,12682.85,19608.25,25839.45,81890.05
