Théâtres,1863-07-19,1863-07-20,1863-07-21,1863-07-22,1863-07-23,1863-07-24,1863-07-25,19 - 25 juil.
Opéra,,7897.27,,6510.96,,7165.12,,21573.35
Théâtre Français,975.6,1018.3,1579.9,790.5,995.8,1153,908.7,7421.8
Opéra-Comique,1336.5,1115.5,2929.5,705.25,2691.5,914.5,2739.25,12432
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,422,636.5,382,338,460.5,348,492.5,3079.5
Théâtre des Variétés,1051,2032,1202,1247.5,1714,1291.5,1260,9798
Gymnase,252.75,2440,2533.25,2146,2283.5,2221.5,2384.5,14261.5
Palais-Royal,539,1833.95,827.5,712.25,1113,709.5,914,6649.2
Porte Saint-Martin,2044,1735,1891.25,1644,1758,1716.75,2002,12791
Gaîté,1223.75,982.5,701.25,562.5,749.75,547.5,521,5288.25
Ambigu-Comique,1400.75,1404.5,812.25,812.5,902,906.5,704.5,6943
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,618.1,469.7,478.4,338.55,429,374.55,,2708.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,9863.45,21565.22,13337.3,15808.01,13097.05,17348.42,11926.45,102945.9
