Théâtres,1863-07-26,1863-07-27,1863-07-28,1863-07-29,1863-07-30,1863-07-31,1863-08-01,26 - 31 juil.,1 août
Opéra,,6716.27,,6400.62,,6235.62,,19352.51,
Théâtre Français,1369,1321.3,1404.3,752.3,762.4,1257.2,825,6866.5,825
Opéra-Comique,2274,1608.75,1186,1964.5,972.5,1945.2,,9950.95,0
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,436,319.5,324,390,431.5,241.5,311.5,2142.5,311.5
Théâtre des Variétés,1366,1226,925,878,817.5,932.5,1077.5,6145,1077.5
Gymnase,2382.25,1977.5,1881,1709.5,1532.5,1565.25,1685.25,11048,1685.25
Palais-Royal,1226,636,707,732,610.5,653.25,514.7,4564.75,514.7
Porte Saint-Martin,2472.5,2018,1963,1705.25,1633.5,1627,1774.25,11419.25,1774.25
Gaîté,1270.25,633.75,,,,,,1904,
Ambigu-Comique,1900.5,827.75,,,,,1874,2728.25,1874
Théâtre Impérial du Cirque,,,,,,1856.25,1673.5,1856.25,1673.5
Folies-Dramatiques,964,489.7,518.1,,,421.2,425.1,2393,425.1
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,15660.5,17774.52,8908.4,14532.17,6760.4,16734.97,10160.8,80370.96,10160.8
