Théâtres,1863-08-02,1863-08-03,1863-08-04,1863-08-05,1863-08-06,1863-08-07, ,2 - 8 août
Opéra,,5834.08,,6924.43,,5849.12,,18607.63
Théâtre Français,951.6,560.7,551,457.5,765.3,331.5,1081.1,4698.7
Opéra-Comique,1661,,1630.25,,1495,747.5,,5533.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,190.5,,,662,507,324,1683.5
Théâtre des Variétés,962,368.5,595,813,699.5,592,262.5,4292.5
Gymnase,356.75,1481,923,792.5,893.5,804.5,546.5,5797.75
Palais-Royal,816.5,513.7,417.5,546.85,528.6,402.4,402.5,3628.05
Porte Saint-Martin,2211.75,1810.75,1293.75,1462.5,1476.75,1393.25,1101.25,10750
Gaîté,,,,,,,,
Ambigu-Comique,3078,1805.5,1315.75,1403,1304,1302,1007.75,11216
Théâtre Impérial du Cirque,2133,1546.5,1139,1336.75,,,1105.75,7261
Folies-Dramatiques,543.2,280.85,,,194.25,,189,1207.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,12713.8,14392.08,7865.25,13736.53,8018.9,11929.27,6020.35,74676.18
