Théâtres,1863-08-30,1863-08-31,1863-09-01,1863-09-02,1863-09-03,1863-09-04,1863-09-05,30 - 31 août,1 - 5 sept.
Opéra,,9334.79,,7978.23,,9205.45,,9334.79,17183.68
Théâtre Français,1627,886.3,819.1,1258,875.7,1881.6,1747.8,2513.3,6582.2
Opéra-Comique,2784.5,2084.5,937,2401,1211.5,3155,1942,4869,9646.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,1179,,1179
Théâtre-Lyrique,,,,,1635.6,1548.5,6003,,9187.1
Vaudeville,938,725,1008,682.5,1135,1910.5,893,1663,5629
Théâtre des Variétés,1145,650,1022,1357,1505.5,2059.5,1717,1795,7661
Gymnase,1641.25,1014,1421,1328.5,1261.5,1668.25,1540.25,2655.25,7219.5
Palais-Royal,906.45,535.9,811.25,711.1,,2166.6,2350.29,1442.35,6039.24
Porte Saint-Martin,3029.25,1312.75,2924.25,2165,2458.75,2810,2338.5,4342,12696.5
Gaîté,5484,4547.25,4885.25,4936.75,4942,5241,5078,10031.25,25083
Ambigu-Comique,3043.5,2008.75,1604,1608,1900,,,5052.25,5112
Théâtre Impérial du Cirque,2705.5,1541.25,2173.25,1805,2156.75,2363,1724,4246.75,10222
Folies-Dramatiques,1693.9,721,833.4,,671.95,909.9,768.1,2414.9,3183.35
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,24998.35,25361.49,18438.5,26231.08,19754.25,34919.3,27280.94,50359.84,126624.07
