Théâtres,1863-09-27,1863-09-28,1863-09-29,1863-09-30,1863-10-01,1863-10-02,1863-10-03,27 - 30 sept.,1 - 3 oct.
Opéra,6292.12,6531.49,,7530.15,,10247.35,,20353.76,10247.35
Théâtre Français,2154,1048.3,2476.1,1181.5,"2,318,60",1824.6,1640,6859.9,3464.6
Opéra-Comique,4416,3888.5,3147.5,3031,3614.5,3432.5,3571.5,14483,10618.5
Théâtre des Italiens,,,,,,,,,
Odéon,1426.75,351.5,299.5,429,353.75,560.25,444.5,2506.75,1358.5
Théâtre-Lyrique,3002.5,3452.5,3703,1267,4793,3136,4527.5,11425,12456.5
Vaudeville,2011,845.5,1103.5,1157,,,,5117,
Théâtre des Variétés,3221.5,2577.5,2627,2421,2527,2742.5,2451,10847,7720.5
Gymnase,2948.75,2171,2371.5,2419.75,10980,2395,1961.25,9911,15336.25
Palais-Royal,2915.5,2310,2232.75,2403,2434.45,2405.5,2515.75,9861.25,7355.7
Porte Saint-Martin,3365.25,3009,3260.7,2769.25,2647.75,3352,2733.75,12404.2,8733.5
Gaîté,5530.25,5255,5430,5454.25,5506.75,5620.75,5517,21669.5,16644.5
Ambigu-Comique,3407,2079.25,2264.25,1846,2420.75,1980,1855.75,9596.5,6256.5
Théâtre Impérial du Cirque,,,,,,,4744,0,4744
Folies-Dramatiques,2128.3,846.65,1972.75,875.95,872.2,885.7,667.85,5823.65,2425.75
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,42818.92,34366.19,30888.55,32784.85,36150.15,38582.15,32629.85,140858.51,107362.15
