Théâtres,1863-12-27,1863-12-28,1863-12-29,1863-12-30,1863-12-31,,,27 - 31 déc.
Opéra,,6985.42,,5807.42,,,,12792.84
Théâtre Français,4096.4,1522.8,1731.7,1351.7,3846.8,,,12549.4
Opéra-Comique,4815.5,1723,2417,3748.5,3931,,,16635
Théâtre des Italiens,,,,,,,,
Odéon,1091,519.5,490.25,652.25,271.25,,,3024.25
Théâtre-Lyrique,3095.5,556.5,4023,,,,,7675
Vaudeville,1520,2128.5,1539.5,1910,1542.5,,,8640.5
Théâtre des Variétés,3868.5,2.910.00,2903,2972.5,2433,,,12177
Gymnase,2238.75,2776.5,2539.75,2682.5,2624.25,,,12861.75
Palais-Royal,9333.25,2305.25,2214,4306,2.750.95,,,18158.5
Porte Saint-Martin,4039.5,2364.5,1980.25,2352.75,,,,10737
Gaîté,2847.25,2130,1924.75,2838,2972.75,,,12712.75
Ambigu-Comique,,,,,1474.75,,,1474.75
Théâtre Impérial du Cirque,3259,,,,,,,3259
Folies-Dramatiques,,1002.05,928.15,955.35,634.45,,,3520
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,40204.65,24014.02,22691.35,29576.97,19730.75,,,136217.74
