An 1864 - Juin,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,16469.09,20085.08,24642.91,21710.51,15927.7,,98835.29
Théâtre Français,12127.2,17626.3,15507.3,12780.89,10057.1,,68098.79
Opéra-Comique,15162.75,19543,18557.5,15038.75,18707.5,,87009.5
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,8404.5,16252.5,17616.5,20183,17448,,79904.5
Vaudeville,3369,4172.5,10701,2382,3182.5,,23807
Théâtre des Variétés,5369,8213,7987,8266,7187,,37022
Gymnase,3962.75,6261.25,7012.25,4095,4836.5,,26167.75
Palais-Royal,7082,9651.5,14186.2,8404.7,8353.75,,47678.15
Porte Saint-Martin,10460,13675,11064.25,7796.25,3632,,46627.5
Gaîté,7442.5,12134.25,11339.8,8503.25,8769,,48188.8
Ambigu-Comique,3918.5,7287.25,7126.75,5478.25,11560.5,,35371.25
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,4204.6,6862.9,6901.15,6340.35,3349.7,,27658.7
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
,,,,,,,
Lazary,,,,,,,
Funambules,,,,,,,
Bouffes  Parisiens,,,,,,,
Total,97971.89,141764.53,152642.61,120978.95,113011.25,,626369.23
